year	name	cname	sex	party	abr	votes	tot
2004	Singanamala	Nadimidoddi Peddaiah	M	Independent	IND	760	160557
2004	Singanamala	Gangadhar	M	Independent	IND	1093	160557
2004	Singanamala	Mundlapati Ramanamma	F	Independent	IND	1095	160557
2004	Singanamala	Muchukota Anand Kumar	M	Bahujan Samaj Party	BSP	3036	160557
2004	Singanamala	Pamidi Samanthaka Mani	F	Telugu Desam	TDP	51443	160557
2004	Singanamala	Sake Sailajanath	M	Indian National Congress	INC	60029	160557
2009	Singanamala	Ramamurthy Dasari	M	CPI(ML)(L)	CPI(ML)(L)	294	197716
2009	Singanamala	P Peddanna	M	PP	PP	348	197716
2009	Singanamala	M Obulapathi	M	IND	IND	496	197716
2009	Singanamala	M Chandrappa	M	IND	IND	556	197716
2009	Singanamala	A Naga Nallaiah	M	IND	IND	609	197716
2009	Singanamala	Kullayappa Midde	M	IND	IND	720	197716
2009	Singanamala	Mudigubba Lakshmanna	M	IND	IND	1094	197716
2009	Singanamala	Y K Viswanath	M	TPPP	TPPP	1200	197716
2009	Singanamala	Harijana Chandrasekhar	M	BSP	BSP	1664	197716
2009	Singanamala	Mallichetty Peddanna	M	BJP	BJP	2247	197716
2009	Singanamala	Jayaram Kothapalli	M	PRAP	PRAP	12689	197716
2009	Singanamala	Pamidi Samanthaka Mani	F	TDP	TDP	62191	197716
2009	Singanamala	Sake Sailajanath	M	INC	INC	65367	197716
2014	Singanamala	Y. Rajagopal	M	RPS	RPS	112	422578
2014	Singanamala	P.N. Vara Prasad	M	AIMIM	AIMIM	147	422578
2014	Singanamala	Bandaru. Chandrasekhar	M	IND	IND	168	422578
2014	Singanamala	M. Raghu Ramanjineyulu	M	IND	IND	172	422578
2014	Singanamala	K. Obulesu	M	IND	IND	190	422578
2014	Singanamala	C. Vinod	M	IND	IND	266	422578
2014	Singanamala	Y.K. Viswanath	M	MASP	MASP	307	422578
2014	Singanamala	M. Venkata Krishnaiah	M	IND	IND	309	422578
2014	Singanamala	K. Silas	M	IND	IND	495	422578
2014	Singanamala	Bandaru Ramanjineyulu	M	JASPA	JASPA	683	422578
2014	Singanamala	None Of The Above		NOTA	NOTA	710	422578
2014	Singanamala	Kondamallela Nagendra	M	LSP	LSP	1016	422578
2014	Singanamala	Singanamala. Parandama	M	BSP	BSP	1598	422578
2014	Singanamala	Sake Sailajanath	M	INC	INC	2176	422578
2014	Singanamala	Jonnalagadda Padmavathy	F	YSRCP	YSRCP	82095	422578
2014	Singanamala	B. Yamini Bala	F	TDP	TDP	86679	422578
1978	Uravakonda	Mruthyunjaya Rao Karnam	M	Independent	IND	2881	93793
1978	Uravakonda	Bukkitla Basappa	M	Independent	IND	4838	93793
1978	Uravakonda	Sanda Nayayanappa	M	Janata Party	JNP	6953	93793
1978	Uravakonda	P.Venkata Narayana	M	Indian National Congress	INC	14357	93793
1978	Uravakonda	R.Vemanna	M	Indian National Congress (I)	INC(I)	34344	93793
1983	Uravakonda	Rayala Vemanna	M	Indian National Congress	INC	26748	98861
1983	Uravakonda	Y. Bheema Reddy	M	Independents	IND	41826	98861
1985	Uravakonda	Nallapareddy Ramanareddy	M	Independent	IND	395	109928
1985	Uravakonda	A. Buden Sab	M	Independent	IND	744	109928
1985	Uravakonda	V. Gopi Nath	M	Indian National Congress	INC	29014	109928
1985	Uravakonda	Gurram Narayanappa	M	Telugu Desam	TDP	38390	109928
1989	Uravakonda	Penabadi Varada Raju	M	Independents	IND	692	133752
1989	Uravakonda	Gurram Narayanappa	M	Telugu Desam	TDP	35723	133752
1989	Uravakonda	V. Gopi Nath	M	Indian National Congress	INC	52365	133752
1994	Uravakonda	Sat Prasad	M	Independent	IND	74	138202
1994	Uravakonda	Bheemalingaiah	M	Independent	IND	163	138202
1994	Uravakonda	A. Ramamohan	M	Independent	IND	267	138202
1994	Uravakonda	V. Ramanjaneyulu	M	Independent	IND	277	138202
1994	Uravakonda	Kothapalli Yerriswamy	M	Independent	IND	391	138202
1994	Uravakonda	K. Laleppa	M	BJP	BJP	719	138202
1994	Uravakonda	Pullaiah	M	Indian National Congress	INC	9528	138202
1994	Uravakonda	Y. Sivarami Reddy	M	Independent	IND	32615	138202
1994	Uravakonda	Kesanna	M	Telugu Desam	TDP	50306	138202
1999	Uravakonda	Yellareddygari Venkatarama Reddy	M	Independent	IND	114	154310
1999	Uravakonda	Pottipadu Ravindra Reddy	M	Independent	IND	198	154310
1999	Uravakonda	Nettyam Siva Kumar	M	Independent	IND	343	154310
1999	Uravakonda	Smt. Gaduputi Leelavathi	F	Pyramid Party Of India	PPOI	421	154310
1999	Uravakonda	Singamaneni Sreeramulu	M	Independent	IND	441	154310
1999	Uravakonda	Gonuguntla Sreenivasulu	M	Anna Telugu Desam Party	ATDP	489	154310
1999	Uravakonda	Payyavula Keshav	M	Telugu Desam	TDP	45562	154310
1999	Uravakonda	Yellareddy Gari Sivarama Reddy	M	Indian National Congress	INC	54063	154310
2004	Uravakonda	Vankalapathi Mohan	M	Independent	IND	404	151992
2004	Uravakonda	Yallareddigari Madhusudana Reddy	M	Independent	IND	406	151992
2004	Uravakonda	V.Parandama Chowdary	M	Independent	IND	477	151992
2004	Uravakonda	K.B.Chakradhari	M	Independent	IND	559	151992
2004	Uravakonda	S.Vijaya Baskar	M	Independent	IND	809	151992
2004	Uravakonda	G.Venkatesu	M	Pyramid Party Of India	PPOI	1696	151992
2004	Uravakonda	Y Visweswara Reddy	M	Communist Party Of India (Marxist-Leninist) (Liberation)	CPI(ML)(L)	47501	151992
2004	Uravakonda	Payyavula Keshav	M	Telugu Desam	TDP	55756	151992
2009	Uravakonda	Devineni Prakash	M	IND	IND	202	187323
2009	Uravakonda	K. Ramireddy	M	IND	IND	223	187323
2009	Uravakonda	Bandari Sunkanna	M	IND	IND	226	187323
2009	Uravakonda	D. Shivakumar	M	PPOI	PPOI	295	187323
2009	Uravakonda	H. Lakshmanna	M	TPPP	TPPP	300	187323
2009	Uravakonda	Vadde Narayanaswamy	M	IND	IND	477	187323
2009	Uravakonda	Vasikeri Shiva Prasad	M	IND	IND	838	187323
2009	Uravakonda	K.B. Sreenivasulu	M	IND	IND	1175	187323
2009	Uravakonda	Mendla Prabhakar	M	BSP	BSP	1692	187323
2009	Uravakonda	Gurram.Chennakeshava Rao	M	PRAP	PRAP	8255	187323
2009	Uravakonda	Y Visweswara Reddy	M	INC	INC	64499	187323
2009	Uravakonda	Payyavula Keshav	M	TDP	TDP	64728	187323
2014	Uravakonda	M. Jaya Praksh Naidu	M	IND	IND	152	386998
2014	Uravakonda	Molaka Bala Ramanjineyulu	M	IND	IND	202	386998
2014	Uravakonda	G. Sudhakar Reddy	M	IND	IND	232	386998
2014	Uravakonda	C.Somasekhar Reddy	M	IND	IND	235	386998
2014	Uravakonda	Nara Narapa Reddy	M	RPS	RPS	273	386998
2014	Uravakonda	B. Ravi Sankar	M	PPOI	PPOI	442	386998
2014	Uravakonda	Kuruba Laleppa	M	IND	IND	484	386998
2014	Uravakonda	None Of The Above		NOTA	NOTA	894	386998
2014	Uravakonda	Mendla Prabhakar	M	BSP	BSP	1052	386998
2014	Uravakonda	K. Ramanjineyulu	M	JASPA	JASPA	1105	386998
2014	Uravakonda	Vasikeri Shiva Prasad	M	INC	INC	1185	386998
2014	Uravakonda	Payyavula Keshav	M	TDP	TDP	78767	386998
2014	Uravakonda	Y Visweswara Reddy	M	YSRCP	YSRCP	81042	386998
1978	Tadipatri	Yatham Narayana	M	Independent	IND	355	101138
1978	Tadipatri	Vellaboyana Bhima Rao	M	Independent	IND	537	101138
1978	Tadipatri	Peddanna	M	Independent	IND	1413	101138
1978	Tadipatri	V.K. Obi Reddi	M	Indian National Congress	INC	15872	101138
1978	Tadipatri	Munchala Kesava Reddy	M	Janata Party	JNP	23280	101138
1978	Tadipatri	Diddekunta Venkata Reddy	M	Indian National Congress (I)	INC(I)	28793	101138
1983	Tadipatri	Nazeer Ahmed Veerapuram	M	Independents	IND	362	115414
1983	Tadipatri	V. K. Venkata Rami Reddy	M	Communist Party Of India	CPI	7529	115414
1983	Tadipatri	V. K. Obireddy	M	Indian National Congress	INC	18446	115414
1983	Tadipatri	J.C. Diwakar Reddy	M	Independents	IND	20300	115414
1983	Tadipatri	Mutyala Kesava Reddy	M	Independents	IND	31416	115414
1985	Tadipatri	Kanakampedda Ganganna	M	Independent	IND	33	125007
1985	Tadipatri	Jalagadu Gulakshmi Devi	F	Independent	IND	255	125007
1985	Tadipatri	Yathamnarayana Reddy	M	Independent	IND	331	125007
1985	Tadipatri	D. Ramamurthy	M	Independent	IND	1427	125007
1985	Tadipatri	Ramachandra Reddy Bhunireddygari	M	Telugu Desam	TDP	38263	125007
1985	Tadipatri	J.C. Diwakar Reddy	M	Indian National Congress	INC	49747	125007
1989	Tadipatri	Pedda Bayarava Reddy	M	Independents	IND	79	157732
1989	Tadipatri	Yannapusa Bhagyalakshmi	M	Independents	IND	103	157732
1989	Tadipatri	Thirupalu Reddy	M	Independents	IND	339	157732
1989	Tadipatri	Ghosuse Mohiddin	M	All India Majlis-E Ithehad-Ul Muslimeen	MIM	1024	157732
1989	Tadipatri	P. Nagi Reddy	M	Telugu Desam	TDP	52335	157732
1989	Tadipatri	J.C. Diwakar Reddy	M	Indian National Congress	INC	53554	157732
1994	Tadipatri	Sambasiva Reddy	M	Independent	IND	40	171442
1994	Tadipatri	Satyanarayana Reddy	M	Independent	IND	53	171442
1994	Tadipatri	Venkata Ranga Reddy	M	Independent	IND	77	171442
1994	Tadipatri	Konkari Balanna	M	Independent	IND	95	171442
1994	Tadipatri	K. Nallappa	M	Independent	IND	306	171442
1994	Tadipatri	Rajasekhara Reddy	M	Independent	IND	443	171442
1994	Tadipatri	Ravi Laxmi Devi	F	BJP	BJP	655	171442
1994	Tadipatri	Peram Nagi Reddy	M	Telugu Desam	TDP	47813	171442
1994	Tadipatri	J.C. Diwakar Reddy	M	Indian National Congress	INC	70693	171442
1999	Tadipatri	T. Maheswara Reddy	M	Independent	IND	89	174251
1999	Tadipatri	Ambati Siva Sankar Reddy	M	Independent	IND	151	174251
1999	Tadipatri	J.C. Raja Sekhar Reddy	M	Independent	IND	164	174251
1999	Tadipatri	Vennapusa Rami Reddy	M	Independent	IND	193	174251
1999	Tadipatri	Prabhakar Reddy	M	Independent	IND	215	174251
1999	Tadipatri	Maramreddy Ranganatha Reddy	M	Pyramid Party Of India	PPOI	437	174251
1999	Tadipatri	Lingutla Rajendra Prasad	M	Anna Telugu Desam Party	ATDP	758	174251
1999	Tadipatri	Peram Nagi Reddy	M	Telugu Desam	TDP	47466	174251
1999	Tadipatri	J.C. Diwakar Reddy	M	Indian National Congress	INC	51509	174251
2004	Tadipatri	V.Muraliprasad Reddy	M	Independent	IND	171	194798
2004	Tadipatri	M.Ramanjula Reddy	M	Independent	IND	187	194798
2004	Tadipatri	B.C.Ramakrishna Reddy	M	Independent	IND	202	194798
2004	Tadipatri	O.Chinna Obula Reddy	M	Independent	IND	307	194798
2004	Tadipatri	K..Sivarami Reddy	M	Independent	IND	330	194798
2004	Tadipatri	J.C. Prabhakar Reddy	M	Independent	IND	347	194798
2004	Tadipatri	P.Vasudeva Reddy	M	Independent	IND	351	194798
2004	Tadipatri	Y.Surya Prabhakara Reddy	M	Independent	IND	663	194798
2004	Tadipatri	Maramreddy Ranganatha Reddy	M	Pyramid Party Of India	PPOI	1906	194798
2004	Tadipatri	Kethireddy Suryaprathapa Reddy	M	Telugu Desam	TDP	58318	194798
2004	Tadipatri	J.C. Diwakar Reddy	M	Indian National Congress	INC	66195	194798
2009	Tadipatri	Chinta Purushotam	M	IND	IND	202	202829
2009	Tadipatri	Tanguturi Jagannatha Reddy	M	IND	IND	225	202829
2009	Tadipatri	Golla Subramanyam	M	IND	IND	274	202829
2009	Tadipatri	K Pulikonda	M	IND	IND	440	202829
2009	Tadipatri	J.C. Prabhakar 	M	IND	IND	471	202829
2009	Tadipatri	Pyla Rayudu	M	IND	IND	500	202829
2009	Tadipatri	P Prathap Yadav	M	IND	IND	502	202829
2009	Tadipatri	Bhanu Praksh Reddy	M	IND	IND	537	202829
2009	Tadipatri	Ogety Sree Devi	F	LSP	LSP	922	202829
2009	Tadipatri	R Venkata Ramana	M	IND	IND	1204	202829
2009	Tadipatri	P V Prathap Reddy	M	BJP	BJP	1641	202829
2009	Tadipatri	C Kesava Reddy	M	BSP	BSP	3855	202829
2009	Tadipatri	Pyla Narasimhaiah	M	PRAP	PRAP	19718	202829
2009	Tadipatri	Peram Nagi Reddy	M	TDP	TDP	56403	202829
2009	Tadipatri	J.C. Diwakar Reddy	M	INC	INC	63358	202829
2014	Tadipatri	K.Narasimha Reddy	M	IND	IND	133	451302
2014	Tadipatri	M.Lali Bhaskar Reddy	M	IND	IND	238	451302
2014	Tadipatri	G.Chandra Sekhar	M	IND	IND	241	451302
2014	Tadipatri	Bandi Sunil Kumar	M	IND	IND	289	451302
2014	Tadipatri	Vignesh. R	M	IND	IND	495	451302
2014	Tadipatri	P.Gopal Reddy	M	IND	IND	615	451302
2014	Tadipatri	P. Neelakanta Achari	M	BSP	BSP	929	451302
2014	Tadipatri	None Of The Above		NOTA	NOTA	1213	451302
2014	Tadipatri	Cherukuri Venkataramana,	M	JASPA	JASPA	1374	451302
2014	Tadipatri	Ambati Viswantha Reddy	M	INC	INC	1411	451302
2014	Tadipatri	T.Kuladeep Chowdary	M	STR	STR	1688	451302
2014	Tadipatri	V.R.Rami Reddy	M	YSRCP	YSRCP	74568	451302
2014	Tadipatri	J.C. Prabhakar Reddy	M	TDP	TDP	96740	451302
1978	Guntakal	S.Khaja Hussain	M	Independent	IND	447	85924
1978	Guntakal	Veera Reddy Z.	M	Communist Party Of India	CPI	11595	85924
1978	Guntakal	Jaffar Sab	M	Janata Party	JNP	18944	85924
1978	Guntakal	K.Venkataramaiah	M	Indian National Congress (I)	INC(I)	24185	85924
1983	Guntakal	Nagappa K.	M	Independents	IND	370	99595
1983	Guntakal	Shaik G. C. Hussain Peeran	M	Independents	IND	991	99595
1983	Guntakal	V. K. Adinarayana Reddy	M	Communist Party Of India	CPI	5418	99595
1983	Guntakal	K. Venkataramaiah	M	Indian National Congress	INC	13806	99595
1983	Guntakal	Pathi Rajagopalu	M	Independents	IND	40358	99595
1985	Guntakal	Mohammed Usman	M	Independent	IND	103	105476
1985	Guntakal	Mallikarjuna	M	Independent	IND	171	105476
1985	Guntakal	B. Lakshmireddy	M	Independent	IND	309	105476
1985	Guntakal	Jagadeesh	M	Indian National Congress	INC	27623	105476
1985	Guntakal	N. Gadilingappa	M	Telugu Desam	TDP	35090	105476
1989	Guntakal	G. Damodar	M	Independents	IND	724	128468
1989	Guntakal	Sainath Gowd	M	Telugu Desam	TDP	40171	128468
1989	Guntakal	Arikeri Jagadeesh	M	Indian National Congress	INC	41784	128468
1994	Guntakal	P.S. Nizamuddin	M	Independent	IND	28	138192
1994	Guntakal	Hanumanthu	M	Independent	IND	64	138192
1994	Guntakal	Chinnakalappa	M	Independent	IND	72	138192
1994	Guntakal	S. Fakruddin	M	Independent	IND	78	138192
1994	Guntakal	Sirisala Vijayakumar	M	Independent	IND	110	138192
1994	Guntakal	Abdul Rajak Mia	M	Bahujan Samaj Party	BSP	231	138192
1994	Guntakal	Illuru Shankaraiah Gupta	M	Independent	IND	246	138192
1994	Guntakal	D. Ravindranath Reddy	M	Bharatiya Janata Party	BJP	1635	138192
1994	Guntakal	Arikera Jagadeesh	M	Indian National Congress	INC	15391	138192
1994	Guntakal	Sainath Gowd	M	Independent	IND	30447	138192
1994	Guntakal	Gadhi Lingappa	M	Telugu Desam	TDP	41275	138192
1999	Guntakal	B. Sanjappa	M	Independent	IND	35	159964
1999	Guntakal	B. Ramanjaneyulu	M	Independent	IND	42	159964
1999	Guntakal	Mallela Laxmanna	M	Independent	IND	112	159964
1999	Guntakal	Besta Narayanaswamy	M	Ntr Telugu Desam Party (Lakshmi Parvathi)	NTRTDP(LP)	130	159964
1999	Guntakal	M. Venkoji Rao	M	Pyramid Party Of India	PPOI	286	159964
1999	Guntakal	D. Jagadeesh	M	Communist Party Of India	CPI	6048	159964
1999	Guntakal	Gadi Lingappa	M	Indian National Congress	INC	24946	159964
1999	Guntakal	R. Sainath Gowd	M	Telugu Desam	TDP	59410	159964
2004	Guntakal	M. Feroz Alikhan	M	Independent	IND	291	155852
2004	Guntakal	Thammineni Chowdary Naidu	M	Independent	IND	311	155852
2004	Guntakal	Thammineni Konaiah	M	Independent	IND	730	155852
2004	Guntakal	B. Venkoba Rao	M	Independent	IND	782	155852
2004	Guntakal	K.C. Narayana	M	Telugu Desam	TDP	44183	155852
2004	Guntakal	Neelavathi. N	F	Indian National Congress	INC	52895	155852
