year,electedas,name,party,ac,pc,mandal,area,ward,age,community,edu,electioncat,occupation,sex,tot,votes
1989,MLA,Patil Venugopal Reddy,INC,Rayadurg,Anantapur,,,,,,,,,,139382.0,47550.0
2009,MLA Candidate,C Nagaraju,PPOI,Rayadurg,Anantapur,,,,,,,,,,198167.0,776.0
2009,MLA Candidate,P Mohan,BHSASP,Rayadurg,Anantapur,,,,,,,,,,198167.0,885.0
2009,MLA Candidate,Andra Prasad,LSP,Rayadurg,Anantapur,,,,,,,,,,198167.0,1072.0
2009,MLA Candidate,Govinda Reddy,IND,Rayadurg,Anantapur,,,,,,,,,,198167.0,2164.0
2009,MLA Candidate,Palegaru Thippe Swamy,BJP,Rayadurg,Anantapur,,,,,,,,,,198167.0,2860.0
2009,MLA Candidate,Bosula Manohar,PRAP,Rayadurg,Anantapur,,,,,,,,,,198167.0,9670.0
2009,MLA Candidate,Mettu Govinda Reddy,TDP,Rayadurg,Anantapur,,,,,,,,,,198167.0,62168.0
2009,MLA,Kapu Ramachandra Reddy,INC,Rayadurg,Anantapur,,,,,,,,,,198167.0,76259.0
2014,MLA Candidate,U Ramachandra Reddy,IND,Rayadurg,Anantapur,,,,,,,,,,451720.0,366.0
2014,MLA Candidate,Amireddy Venkata Reddy,IND,Rayadurg,Anantapur,,,,,,,,,,451720.0,395.0
2014,MLA Candidate,K. Srinivasulu,IND,Rayadurg,Anantapur,,,,,,,,,,451720.0,397.0
2014,MLA Candidate,D. Shivakumar,PPOI,Rayadurg,Anantapur,,,,,,,,,,451720.0,449.0
2014,MLA Candidate,N. Srinivasulu,IND,Rayadurg,Anantapur,,,,,,,,,,451720.0,495.0
2014,MLA Candidate,B Venkata Ramana (Babu),LSP,Rayadurg,Anantapur,,,,,,,,,,451720.0,649.0
2014,MLA Candidate,Virupa Srinivasulu,IND,Rayadurg,Anantapur,,,,,,,,,,451720.0,767.0
2014,MLA Candidate,D. Yerriswamy Reddy,RPS,Rayadurg,Anantapur,,,,,,,,,,451720.0,947.0
2014,MLA Candidate,Nota,NOTA,Rayadurg,Anantapur,,,,,,,,,,451720.0,1288.0
2014,MLA Candidate,S. Mallikarjuna,BCUF,Rayadurg,Anantapur,,,,,,,,,,451720.0,1400.0
2014,MLA Candidate,Vadde M. B. Chinnappayya,INC,Rayadurg,Anantapur,,,,,,,,,,451720.0,2737.0
2014,MLA Candidate,Kapu Ramachandra Reddy,YSRCP,Rayadurg,Anantapur,,,,,,,,,,451720.0,90517.0
2014,MLA Minister,Kalava Srinivasulu,TDP,Rayadurg,Anantapur,,,,,,,,,,451720.0,92344.0
1989,MLA Candidate,B. Parusuramaiah,IND,Kalyandurg,Anantapur,,,,,,,,,,148447.0,749.0
1989,MLA Candidate,Sanjeevaiah V.,CPI,Kalyandurg,Anantapur,,,,,,,,,,148447.0,43706.0
1989,MLA,Lakshmi Devi M.,INC,Kalyandurg,Anantapur,,,,,,,,,,148447.0,48448.0
2009,MLA Candidate,Y G K Venkatesulu,PPOI,Kalyandurg,Anantapur,,,,,,,,,,177742.0,532.0
2009,MLA Candidate,B Venkata Narayana,BSP,Kalyandurg,Anantapur,,,,,,,,,,177742.0,616.0
2009,MLA Candidate,R G Santha Kumari,LSP,Kalyandurg,Anantapur,,,,,,,,,,177742.0,642.0
2009,MLA Candidate,M Narayana,IND,Kalyandurg,Anantapur,,,,,,,,,,177742.0,914.0
2009,MLA Candidate,Balaram Sake,BJP,Kalyandurg,Anantapur,,,,,,,,,,177742.0,1415.0
2009,MLA Candidate,Market Ramanna,PRAP,Kalyandurg,Anantapur,,,,,,,,,,177742.0,7342.0
2009,MLA Candidate,Vunnam Hanumantharaya Chowdary,TDP,Kalyandurg,Anantapur,,,,,,,,,,177742.0,65226.0
2009,MLA Minister,Neelakantapuram Raghuveera Reddy,INC,Kalyandurg,Anantapur,,,,,,,,,,177742.0,69614.0
2014,MLA Candidate,Dasari Chandrasekhara,IND,Kalyandurg,Anantapur,,,,,,,,,,391304.0,523.0
2014,MLA Candidate,Sugepalli Ravi Kumar,JASPA,Kalyandurg,Anantapur,,,,,,,,,,391304.0,751.0
2014,MLA Candidate,Nota,NOTA,Kalyandurg,Anantapur,,,,,,,,,,391304.0,880.0
2014,MLA Candidate,P.Pakruddin,PPOI,Kalyandurg,Anantapur,,,,,,,,,,391304.0,1318.0
2014,MLA Candidate,K.Ramakrishnayya,BSP,Kalyandurg,Anantapur,,,,,,,,,,391304.0,1395.0
2014,MLA Candidate,M.D.Sanjeevappa,CPI,Kalyandurg,Anantapur,,,,,,,,,,391304.0,1541.0
2014,MLA Candidate,Boya Thippe Swamy,YSRCP,Kalyandurg,Anantapur,,,,,,,,,,391304.0,69662.0
2014,MLA,Vunnam Hanumantharaya Chowdary,TDP,Kalyandurg,Anantapur,,,,,,,,,,391304.0,91981.0
1978,MLA Candidate,C.Obaiah,IND,Kalyandurg,Anantapur,,,,,,,,,,104599.0,1305.0
1978,MLA Candidate,Lakshmi Devi M.,INC,Kalyandurg,Anantapur,,,,,,,,,,104599.0,17801.0
1978,MLA Candidate,S.Viswandam,INC(I),Kalyandurg,Anantapur,,,,,,,,,,104599.0,19937.0
1978,MLA,Hindi Narasappa,JNP,Kalyandurg,Anantapur,,,,,,,,,,104599.0,23364.0
1983,MLA Candidate,Chowdappa,IND,Kalyandurg,Anantapur,,,,,,,,,,111571.0,600.0
1983,MLA Candidate,B. T. Pakkirappa,CPI,Kalyandurg,Anantapur,,,,,,,,,,111571.0,8179.0
1983,MLA Candidate,Vishwanatham,INC,Kalyandurg,Anantapur,,,,,,,,,,111571.0,19989.0
1983,MLA,T. C. Mareppa,IND,Kalyandurg,Anantapur,,,,,,,,,,111571.0,41768.0
1985,MLA Candidate,Lakshmidevi,INC,Kalyandurg,Anantapur,,,,,,,,,,117910.0,24469.0
1985,MLA,B. T. Pakkirappa,CPI,Kalyandurg,Anantapur,,,,,,,,,,117910.0,49489.0
1994,MLA Candidate,Boddappa,IND,Kalyandurg,Anantapur,,,,,,,,,,166213.0,51.0
1994,MLA Candidate,Ramaswamy,IND,Kalyandurg,Anantapur,,,,,,,,,,166213.0,112.0
1994,MLA Candidate,Kollappa,IND,Kalyandurg,Anantapur,,,,,,,,,,166213.0,209.0
1994,MLA Candidate,Ramaiah,IND,Kalyandurg,Anantapur,,,,,,,,,,166213.0,262.0
1994,MLA Candidate,M. Adeppa,IND,Kalyandurg,Anantapur,,,,,,,,,,166213.0,296.0
1994,MLA Candidate,Chinna Durgappa,IND,Kalyandurg,Anantapur,,,,,,,,,,166213.0,375.0
1994,MLA Candidate,Jenne Anjineyulu,BSP,Kalyandurg,Anantapur,,,,,,,,,,166213.0,836.0
1994,MLA Candidate,Balaram,BJP,Kalyandurg,Anantapur,,,,,,,,,,166213.0,1101.0
1994,MLA Candidate,M. Lakshmidevi,INC,Kalyandurg,Anantapur,,,,,,,,,,166213.0,28983.0
1994,MLA,B.C. Govindappa,TDP,Kalyandurg,Anantapur,,,,,,,,,,166213.0,85061.0
1999,MLA Candidate,A. Kullayappa,IND,Kalyandurg,Anantapur,,,,,,,,,,183840.0,108.0
1999,MLA Candidate,B. Govindappa,IND,Kalyandurg,Anantapur,,,,,,,,,,183840.0,181.0
1999,MLA Candidate,S. Yenjarappa,IND,Kalyandurg,Anantapur,,,,,,,,,,183840.0,256.0
1999,MLA Candidate,H. Thimmappa,IND,Kalyandurg,Anantapur,,,,,,,,,,183840.0,282.0
1999,MLA Candidate,M. Ananthamma,IND,Kalyandurg,Anantapur,,,,,,,,,,183840.0,334.0
1999,MLA Candidate,M. Yerriswamy,IND,Kalyandurg,Anantapur,,,,,,,,,,183840.0,353.0
1999,MLA Candidate,M. Krishnaiah,PPOI,Kalyandurg,Anantapur,,,,,,,,,,183840.0,429.0
1999,MLA Candidate,P. Vannurappa,IND,Kalyandurg,Anantapur,,,,,,,,,,183840.0,534.0
1999,MLA Candidate,B. Sudharshan,BJRP,Kalyandurg,Anantapur,,,,,,,,,,183840.0,1369.0
1999,MLA Candidate,H. Nagaraju,ATDP,Kalyandurg,Anantapur,,,,,,,,,,183840.0,6919.0
1999,MLA Candidate,K.B. Shanthi Shivaji,INC,Kalyandurg,Anantapur,,,,,,,,,,183840.0,44931.0
1999,MLA,A. Saradamba,TDP,Kalyandurg,Anantapur,,,,,,,,,,183840.0,67813.0
2004,MLA Candidate,R.Gangaraju,IND,Kalyandurg,Anantapur,,,,,,,,,,196478.0,641.0
2004,MLA Candidate,H.Vannurappa,IND,Kalyandurg,Anantapur,,,,,,,,,,196478.0,790.0
2004,MLA Candidate,M.Suresh Babu,IND,Kalyandurg,Anantapur,,,,,,,,,,196478.0,1341.0
2004,MLA Candidate,A. Kullayappa,IND,Kalyandurg,Anantapur,,,,,,,,,,196478.0,1467.0
2004,MLA Candidate,Sugepalli Umadevi,INC,Kalyandurg,Anantapur,,,,,,,,,,196478.0,66711.0
2004,MLA,B.C. Govindappa,TDP,Kalyandurg,Anantapur,,,,,,,,,,196478.0,76363.0
1978,MLA Candidate,Asavadi Jagajjeevan,IND,Singanamala,Anantapur,,,,,,,,,,88391.0,1434.0
1978,MLA Candidate,N. Sivasankar,INC,Singanamala,Anantapur,,,,,,,,,,88391.0,2016.0
1978,MLA Candidate,Katappagari Ananda Rao,INC(I),Singanamala,Anantapur,,,,,,,,,,88391.0,16758.0
1978,MLA,B. Rukmani Devi,JNP,Singanamala,Anantapur,,,,,,,,,,88391.0,20385.0
1983,MLA Candidate,Pujari Varadarajulu,JNP,Singanamala,Anantapur,,,,,,,,,,93726.0,786.0
1983,MLA Candidate,K. Ananda Rao,INC,Singanamala,Anantapur,,,,,,,,,,93726.0,19318.0
1983,MLA,P. Gurumurthy,IND,Singanamala,Anantapur,,,,,,,,,,93726.0,38221.0
1985,MLA Candidate,Asadi Naganhushanam,IND,Singanamala,Anantapur,,,,,,,,,,103324.0,131.0
1985,MLA Candidate,Mallepula Yerriswamy,IND,Singanamala,Anantapur,,,,,,,,,,103324.0,374.0
1985,MLA Candidate,Kailasam Ananda Rao,IND,Singanamala,Anantapur,,,,,,,,,,103324.0,1429.0
1985,MLA Candidate,P. Samanthakamani,INC,Singanamala,Anantapur,,,,,,,,,,103324.0,19990.0
1985,MLA,K. Jayaram,TDP,Singanamala,Anantapur,,,,,,,,,,103324.0,34202.0
1989,MLA Candidate,Meesala Pedda Narayana Alias Abbenna,IND,Singanamala,Anantapur,,,,,,,,,,131231.0,100.0
1989,MLA Candidate,Mantrigari Chinna Nallappa,IND,Singanamala,Anantapur,,,,,,,,,,131231.0,188.0
1989,MLA Candidate,Harijana Dasari Subbaiah,IND,Singanamala,Anantapur,,,,,,,,,,131231.0,205.0
1989,MLA Candidate,Peddapuri Ramiah,IND,Singanamala,Anantapur,,,,,,,,,,131231.0,459.0
1989,MLA Candidate,Juturu Yernagappa,IND,Singanamala,Anantapur,,,,,,,,,,131231.0,471.0
1989,MLA Candidate,J. Channappa,IND,Singanamala,Anantapur,,,,,,,,,,131231.0,515.0
1989,MLA Candidate,Nukathati Muneppa,IND,Singanamala,Anantapur,,,,,,,,,,131231.0,650.0
1989,MLA Candidate,B.C. Govindappa,TDP,Singanamala,Anantapur,,,,,,,,,,131231.0,35698.0
1989,MLA Minister,P. Samanthakamani,INC,Singanamala,Anantapur,,,,,,,,,,131231.0,42777.0
1994,MLA Candidate,Ramanjaneyulu,IND,Singanamala,Anantapur,,,,,,,,,,141294.0,518.0
1994,MLA Candidate,Bandi Nallappa,BSP,Singanamala,Anantapur,,,,,,,,,,141294.0,753.0
1994,MLA Candidate,Mendava Ramaiah,IND,Singanamala,Anantapur,,,,,,,,,,141294.0,1064.0
1994,MLA Candidate,Pratap Sagar,BJP,Singanamala,Anantapur,,,,,,,,,,141294.0,1175.0
1994,MLA Candidate,N. Muneppa,IND,Singanamala,Anantapur,,,,,,,,,,141294.0,1211.0
1994,MLA Candidate,P. Samanthakamani,INC,Singanamala,Anantapur,,,,,,,,,,141294.0,18337.0
1994,MLA,K. Jayaram,TDP,Singanamala,Anantapur,,,,,,,,,,141294.0,65535.0
1999,MLA Candidate,N. Muneppa,IND,Singanamala,Anantapur,,,,,,,,,,155039.0,274.0
1999,MLA Candidate,Tarimela Nallappa,MCPI(S),Singanamala,Anantapur,,,,,,,,,,155039.0,557.0
1999,MLA Candidate,O.Nallappa,CPM,Singanamala,Anantapur,,,,,,,,,,155039.0,2652.0
1999,MLA Candidate,S. Sairam,INC,Singanamala,Anantapur,,,,,,,,,,155039.0,43020.0
1999,MLA,K. Jayaram,TDP,Singanamala,Anantapur,,,,,,,,,,155039.0,47310.0
2004,MLA Candidate,Nadimidoddi Peddaiah,IND,Singanamala,Anantapur,,,,,,,,,,160557.0,760.0
2004,MLA Candidate,Gangadhar,IND,Singanamala,Anantapur,,,,,,,,,,160557.0,1093.0
2004,MLA Candidate,Mundlapati Ramanamma,IND,Singanamala,Anantapur,,,,,,,,,,160557.0,1095.0
2004,MLA Candidate,Muchukota Anand Kumar,BSP,Singanamala,Anantapur,,,,,,,,,,160557.0,3036.0
2004,MLA Candidate,Pamidi Samanthaka Mani,TDP,Singanamala,Anantapur,,,,,,,,,,160557.0,51443.0
2004,MLA,Sake Sailajanath,INC,Singanamala,Anantapur,,,,,,,,,,160557.0,60029.0
2009,MLA Candidate,Ramamurthy Dasari,CPI(ML)(L),Singanamala,Anantapur,,,,,,,,,,197716.0,294.0
2009,MLA Candidate,P Peddanna,PP,Singanamala,Anantapur,,,,,,,,,,197716.0,348.0
2009,MLA Candidate,M. Obulapathi,IND,Singanamala,Anantapur,,,,,,,,,,197716.0,496.0
2009,MLA Candidate,M Chandrappa,IND,Singanamala,Anantapur,,,,,,,,,,197716.0,556.0
2009,MLA Candidate,A Naga Nallaiah,IND,Singanamala,Anantapur,,,,,,,,,,197716.0,609.0
2009,MLA Candidate,Kullayappa Midde,IND,Singanamala,Anantapur,,,,,,,,,,197716.0,720.0
2009,MLA Candidate,Mudigubba Lakshmanna,IND,Singanamala,Anantapur,,,,,,,,,,197716.0,1094.0
2009,MLA Candidate,Y.K. Viswanath,TPPP,Singanamala,Anantapur,,,,,,,,,,197716.0,1200.0
2009,MLA Candidate,Harijana Chandrasekhar,BSP,Singanamala,Anantapur,,,,,,,,,,197716.0,1664.0
2009,MLA Candidate,Mallichetty Peddanna,BJP,Singanamala,Anantapur,,,,,,,,,,197716.0,2247.0
2009,MLA Candidate,Jayaram Kothapalli,PRAP,Singanamala,Anantapur,,,,,,,,,,197716.0,12689.0
2009,MLA Candidate,Pamidi Samanthaka Mani,TDP,Singanamala,Anantapur,,,,,,,,,,197716.0,62191.0
2009,MLA,Sake Sailajanath,INC,Singanamala,Anantapur,,,,,,,,,,197716.0,65367.0
2014,MLA Candidate,Y. Rajagopal,RPS,Singanamala,Anantapur,,,,,,,,,,422578.0,112.0
2014,MLA Candidate,P.N. Vara Prasad,AIMIM,Singanamala,Anantapur,,,,,,,,,,422578.0,147.0
2014,MLA Candidate,Bandaru. Chandrasekhar,IND,Singanamala,Anantapur,,,,,,,,,,422578.0,168.0
2014,MLA Candidate,M. Raghu Ramanjineyulu,IND,Singanamala,Anantapur,,,,,,,,,,422578.0,172.0
2014,MLA Candidate,K. Obulesu,IND,Singanamala,Anantapur,,,,,,,,,,422578.0,190.0
2014,MLA Candidate,C. Vinod,IND,Singanamala,Anantapur,,,,,,,,,,422578.0,266.0
2014,MLA Candidate,Y.K. Viswanath,MASP,Singanamala,Anantapur,,,,,,,,,,422578.0,307.0
2014,MLA Candidate,M. Venkata Krishnaiah,IND,Singanamala,Anantapur,,,,,,,,,,422578.0,309.0
2014,MLA Candidate,K. Silas,IND,Singanamala,Anantapur,,,,,,,,,,422578.0,495.0
2014,MLA Candidate,Bandaru Ramanjineyulu,JASPA,Singanamala,Anantapur,,,,,,,,,,422578.0,683.0
2014,MLA Candidate,Nota,NOTA,Singanamala,Anantapur,,,,,,,,,,422578.0,710.0
2014,MLA Candidate,Kondamallela Nagendra,LSP,Singanamala,Anantapur,,,,,,,,,,422578.0,1016.0
2014,MLA Candidate,Singanamala. Parandama,BSP,Singanamala,Anantapur,,,,,,,,,,422578.0,1598.0
2014,MLA Candidate,Sake Sailajanath,INC,Singanamala,Anantapur,,,,,,,,,,422578.0,2176.0
2014,MLA Candidate,Jonnalagadda Padmavathy,YSRCP,Singanamala,Anantapur,,,,,,,,,,422578.0,82095.0
2014,MLA,B. Yamini Bala,TDP,Singanamala,Anantapur,,,,,,,,,,422578.0,86679.0
1978,MLA Candidate,Mruthyunjaya Rao Karnam,IND,Uravakonda,Anantapur,,,,,,,,,,93793.0,2881.0
1978,MLA Candidate,Bukkitla Basappa,IND,Uravakonda,Anantapur,,,,,,,,,,93793.0,4838.0
1978,MLA Candidate,Sanda Nayayanappa,JNP,Uravakonda,Anantapur,,,,,,,,,,93793.0,6953.0
1978,MLA Candidate,P.Venkata Narayana,INC,Uravakonda,Anantapur,,,,,,,,,,93793.0,14357.0
1978,MLA,R.Vemanna,INC(I),Uravakonda,Anantapur,,,,,,,,,,93793.0,34344.0
1983,MLA Candidate,Rayala Vemanna,INC,Uravakonda,Anantapur,,,,,,,,,,98861.0,26748.0
1983,MLA,Y. Bheema Reddy,IND,Uravakonda,Anantapur,,,,,,,,,,98861.0,41826.0
1985,MLA Candidate,Nallapareddy Ramanareddy,IND,Uravakonda,Anantapur,,,,,,,,,,109928.0,395.0
1985,MLA Candidate,A. Buden Sab,IND,Uravakonda,Anantapur,,,,,,,,,,109928.0,744.0
1985,MLA Candidate,V. Gopi Nath,INC,Uravakonda,Anantapur,,,,,,,,,,109928.0,29014.0
1985,MLA,Gurram Narayanappa,TDP,Uravakonda,Anantapur,,,,,,,,,,109928.0,38390.0
1989,MLA Candidate,Penabadi Varada Raju,IND,Uravakonda,Anantapur,,,,,,,,,,133752.0,692.0
1989,MLA Candidate,Gurram Narayanappa,TDP,Uravakonda,Anantapur,,,,,,,,,,133752.0,35723.0
1989,MLA,V. Gopi Nath,INC,Uravakonda,Anantapur,,,,,,,,,,133752.0,52365.0
1994,MLA Candidate,Sat Prasad,IND,Uravakonda,Anantapur,,,,,,,,,,138202.0,74.0
1994,MLA Candidate,Bheemalingaiah,IND,Uravakonda,Anantapur,,,,,,,,,,138202.0,163.0
1994,MLA Candidate,A. Ramamohan,IND,Uravakonda,Anantapur,,,,,,,,,,138202.0,267.0
1994,MLA Candidate,V. Ramanjaneyulu,IND,Uravakonda,Anantapur,,,,,,,,,,138202.0,277.0
1994,MLA Candidate,Kothapalli Yerriswamy,IND,Uravakonda,Anantapur,,,,,,,,,,138202.0,391.0
1994,MLA Candidate,K. Laleppa,BJP,Uravakonda,Anantapur,,,,,,,,,,138202.0,719.0
1994,MLA Candidate,Pullaiah,INC,Uravakonda,Anantapur,,,,,,,,,,138202.0,9528.0
1994,MLA Candidate,Y. Sivarami Reddy,IND,Uravakonda,Anantapur,,,,,,,,,,138202.0,32615.0
1994,MLA,Kesanna,TDP,Uravakonda,Anantapur,,,,,,,,,,138202.0,50306.0
1999,MLA Candidate,Yellareddygari Venkatarama Reddy,IND,Uravakonda,Anantapur,,,,,,,,,,154310.0,114.0
1999,MLA Candidate,Pottipadu Ravindra Reddy,IND,Uravakonda,Anantapur,,,,,,,,,,154310.0,198.0
1999,MLA Candidate,Nettyam Siva Kumar,IND,Uravakonda,Anantapur,,,,,,,,,,154310.0,343.0
1999,MLA Candidate,Smt. Gaduputi Leelavathi,PPOI,Uravakonda,Anantapur,,,,,,,,,,154310.0,421.0
1999,MLA Candidate,Singamaneni Sreeramulu,IND,Uravakonda,Anantapur,,,,,,,,,,154310.0,441.0
1999,MLA Candidate,Gonuguntla Sreenivasulu,ATDP,Uravakonda,Anantapur,,,,,,,,,,154310.0,489.0
1999,MLA Candidate,Payyavula Keshav,TDP,Uravakonda,Anantapur,,,,,,,,,,154310.0,45562.0
1999,MLA,Yellareddy Gari Sivarama Reddy,INC,Uravakonda,Anantapur,,,,,,,,,,154310.0,54063.0
2004,MLA Candidate,Vankalapathi Mohan,IND,Uravakonda,Anantapur,,,,,,,,,,151992.0,404.0
2004,MLA Candidate,Yallareddigari Madhusudana Reddy,IND,Uravakonda,Anantapur,,,,,,,,,,151992.0,406.0
2004,MLA Candidate,V.Parandama Chowdary,IND,Uravakonda,Anantapur,,,,,,,,,,151992.0,477.0
2004,MLA Candidate,K.B.Chakradhari,IND,Uravakonda,Anantapur,,,,,,,,,,151992.0,559.0
2004,MLA Candidate,S.Vijaya Baskar,IND,Uravakonda,Anantapur,,,,,,,,,,151992.0,809.0
2004,MLA Candidate,G.Venkatesu,PPOI,Uravakonda,Anantapur,,,,,,,,,,151992.0,1696.0
2004,MLA Candidate,Y. Visweswara Reddy,CPI(ML)(L),Uravakonda,Anantapur,,,,,,,,,,151992.0,47501.0
2004,MLA,Payyavula Keshav,TDP,Uravakonda,Anantapur,,,,,,,,,,151992.0,55756.0
2009,MLA Candidate,Devineni Prakash,IND,Uravakonda,Anantapur,,,,,,,,,,187323.0,202.0
2009,MLA Candidate,K. Ramireddy,IND,Uravakonda,Anantapur,,,,,,,,,,187323.0,223.0
2009,MLA Candidate,Bandari Sunkanna,IND,Uravakonda,Anantapur,,,,,,,,,,187323.0,226.0
2009,MLA Candidate,D. Shivakumar,PPOI,Uravakonda,Anantapur,,,,,,,,,,187323.0,295.0
2009,MLA Candidate,H. Lakshmanna,TPPP,Uravakonda,Anantapur,,,,,,,,,,187323.0,300.0
2009,MLA Candidate,Vadde Narayanaswamy,IND,Uravakonda,Anantapur,,,,,,,,,,187323.0,477.0
2009,MLA Candidate,Vasikeri Shiva Prasad,IND,Uravakonda,Anantapur,,,,,,,,,,187323.0,838.0
2009,MLA Candidate,K.B. Sreenivasulu,IND,Uravakonda,Anantapur,,,,,,,,,,187323.0,1175.0
2009,MLA Candidate,Mendla Prabhakar,BSP,Uravakonda,Anantapur,,,,,,,,,,187323.0,1692.0
2009,MLA Candidate,Gurram.Chennakeshava Rao,PRAP,Uravakonda,Anantapur,,,,,,,,,,187323.0,8255.0
2009,MLA Candidate,Y. Visweswara Reddy,INC,Uravakonda,Anantapur,,,,,,,,,,187323.0,64499.0
2009,MLA,Payyavula Keshav,TDP,Uravakonda,Anantapur,,,,,,,,,,187323.0,64728.0
2014,MLA Candidate,M. Jaya Praksh Naidu,IND,Uravakonda,Anantapur,,,,,,,,,,386998.0,152.0
2014,MLA Candidate,Molaka Bala Ramanjineyulu,IND,Uravakonda,Anantapur,,,,,,,,,,386998.0,202.0
2014,MLA Candidate,G. Sudhakar Reddy,IND,Uravakonda,Anantapur,,,,,,,,,,386998.0,232.0
2014,MLA Candidate,C.Somasekhar Reddy,IND,Uravakonda,Anantapur,,,,,,,,,,386998.0,235.0
2014,MLA Candidate,Nara Narapa Reddy,RPS,Uravakonda,Anantapur,,,,,,,,,,386998.0,273.0
2014,MLA Candidate,B. Ravi Sankar,PPOI,Uravakonda,Anantapur,,,,,,,,,,386998.0,442.0
2014,MLA Candidate,Kuruba Laleppa,IND,Uravakonda,Anantapur,,,,,,,,,,386998.0,484.0
2014,MLA Candidate,Nota,NOTA,Uravakonda,Anantapur,,,,,,,,,,386998.0,894.0
2014,MLA Candidate,Mendla Prabhakar,BSP,Uravakonda,Anantapur,,,,,,,,,,386998.0,1052.0
2014,MLA Candidate,K. Ramanjineyulu,JASPA,Uravakonda,Anantapur,,,,,,,,,,386998.0,1105.0
2014,MLA Candidate,Vasikeri Shiva Prasad,INC,Uravakonda,Anantapur,,,,,,,,,,386998.0,1185.0
2014,MLA Candidate,Payyavula Keshav,TDP,Uravakonda,Anantapur,,,,,,,,,,386998.0,78767.0
2014,MLA,Y. Visweswara Reddy,YSRCP,Uravakonda,Anantapur,,,,,,,,,,386998.0,81042.0
1978,MLA Candidate,Yatham Narayana,IND,Tadipatri,Anantapur,,,,,,,,,,101138.0,355.0
1978,MLA Candidate,Vellaboyana Bhima Rao,IND,Tadipatri,Anantapur,,,,,,,,,,101138.0,537.0
1978,MLA Candidate,Peddanna,IND,Tadipatri,Anantapur,,,,,,,,,,101138.0,1413.0
1978,MLA Candidate,V.K. Obi Reddi,INC,Tadipatri,Anantapur,,,,,,,,,,101138.0,15872.0
1978,MLA Candidate,Munchala Kesava Reddy,JNP,Tadipatri,Anantapur,,,,,,,,,,101138.0,23280.0
1978,MLA,Diddekunta Venkata Reddy,INC(I),Tadipatri,Anantapur,,,,,,,,,,101138.0,28793.0
1983,MLA Candidate,Nazeer Ahmed Veerapuram,IND,Tadipatri,Anantapur,,,,,,,,,,115414.0,362.0
1983,MLA Candidate,V. K. Venkata Rami Reddy,CPI,Tadipatri,Anantapur,,,,,,,,,,115414.0,7529.0
1983,MLA Candidate,V. K. Obireddy,INC,Tadipatri,Anantapur,,,,,,,,,,115414.0,18446.0
1983,MLA Candidate,J.C. Diwakar Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,115414.0,20300.0
1983,MLA,Mutyala Kesava Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,115414.0,31416.0
1985,MLA Candidate,Kanakampedda Ganganna,IND,Tadipatri,Anantapur,,,,,,,,,,125007.0,33.0
1985,MLA Candidate,Jalagadu Gulakshmi Devi,IND,Tadipatri,Anantapur,,,,,,,,,,125007.0,255.0
1985,MLA Candidate,Yathamnarayana Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,125007.0,331.0
1985,MLA Candidate,D. Ramamurthy,IND,Tadipatri,Anantapur,,,,,,,,,,125007.0,1427.0
1985,MLA Candidate,Ramachandra Reddy Bhunireddygari,TDP,Tadipatri,Anantapur,,,,,,,,,,125007.0,38263.0
1985,MLA,J. C. Diwakar Reddy,INC,Tadipatri,Anantapur,,,,,,,,,,125007.0,49747.0
1989,MLA Candidate,Pedda Bayarava Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,157732.0,79.0
1989,MLA Candidate,Yannapusa Bhagyalakshmi,IND,Tadipatri,Anantapur,,,,,,,,,,157732.0,103.0
1989,MLA Candidate,Thirupalu Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,157732.0,339.0
1989,MLA Candidate,Ghosuse Mohiddin,MIM,Tadipatri,Anantapur,,,,,,,,,,157732.0,1024.0
1989,MLA Candidate,P. Nagi Reddy,TDP,Tadipatri,Anantapur,,,,,,,,,,157732.0,52335.0
1989,MLA Minister,J.C. Diwakar Reddy,INC,Tadipatri,Anantapur,,,,,,,,,,157732.0,53554.0
1994,MLA Candidate,Sambasiva Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,171442.0,40.0
1994,MLA Candidate,Satyanarayana Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,171442.0,53.0
1994,MLA Candidate,Venkata Ranga Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,171442.0,77.0
1994,MLA Candidate,Konkari Balanna,IND,Tadipatri,Anantapur,,,,,,,,,,171442.0,95.0
1994,MLA Candidate,K. Nallappa,IND,Tadipatri,Anantapur,,,,,,,,,,171442.0,306.0
1994,MLA Candidate,Rajasekhara Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,171442.0,443.0
1994,MLA Candidate,Ravi Laxmi Devi,BJP,Tadipatri,Anantapur,,,,,,,,,,171442.0,655.0
1994,MLA Candidate,Peram Nagi Reddy,TDP,Tadipatri,Anantapur,,,,,,,,,,171442.0,47813.0
1994,MLA,J. C. Diwakar Reddy,INC,Tadipatri,Anantapur,,,,,,,,,,171442.0,70693.0
1999,MLA Candidate,T. Maheswara Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,174251.0,89.0
1999,MLA Candidate,Ambati Siva Sankar Reddy,IND,Tadipatri,Anantapur,,,,,,,,,,174251.0,151.0
